date;new_cases
06.12.2020;2741
05.12.2020;3444
04.12.2020;3815
03.12.2020;3969
02.12.2020;3972
01.12.2020;3033
30.11.2020;2748
29.11.2020;4047
28.11.2020;4669
27.11.2020;4954
26.11.2020;5526
25.11.2020;5802
24.11.2020;4377
23.11.2020;3145
22.11.2020;5226
21.11.2020;6611
20.11.2020;6668
19.11.2020;6995
18.11.2020;7091
17.11.2020;5984
16.11.2020;4657
15.11.2020;5665
14.11.2020;7063
13.11.2020;9586
12.11.2020;9262
11.11.2020;7514
10.11.2020;6120
09.11.2020;5593
08.11.2020;5933
07.11.2020;8241
06.11.2020;6464
05.11.2020;7416
04.11.2020;6901
03.11.2020;4182
02.11.2020;4135
01.11.2020;4956
31.10.2020;5349
30.10.2020;5627
29.10.2020;4453
28.10.2020;3394
27.10.2020;2835
26.10.2020;2456
25.10.2020;2782
24.10.2020;3614
23.10.2020;2571
22.10.2020;2435
21.10.2020;1958
20.10.2020;1524
19.10.2020;1121
18.10.2020;1672
17.10.2020;1747
16.10.2020;1163
15.10.2020;1552
14.10.2020;1346
13.10.2020;1028
12.10.2020;979
11.10.2020;896
10.10.2020;1235
09.10.2020;1131
08.10.2020;1209
07.10.2020;1029
06.10.2020;923
05.10.2020;750
04.10.2020;714
03.10.2020;1058
02.10.2020;688
01.10.2020;873
30.09.2020;772
29.09.2020;609
28.09.2020;556
27.09.2020;662
26.09.2020;714
25.09.2020;684
24.09.2020;832
23.09.2020;681
22.09.2020;645
21.09.2020;563
20.09.2020;621
19.09.2020;813
18.09.2020;808
17.09.2020;780
16.09.2020;768
15.09.2020;764
14.09.2020;382
13.09.2020;463
12.09.2020;869
11.09.2020;580
10.09.2020;664
09.09.2020;502
08.09.2020;520
07.09.2020;290
06.09.2020;184
05.09.2020;358
04.09.2020;357
03.09.2020;403
02.09.2020;327
01.09.2020;204
31.08.2020;272
30.08.2020;181
29.08.2020;395
28.08.2020;229
27.08.2020;328
26.08.2020;327
25.08.2020;211
24.08.2020;242
23.08.2020;191
22.08.2020;300
21.08.2020;331
20.08.2020;347
19.08.2020;255
18.08.2020;295
17.08.2020;164
16.08.2020;191
15.08.2020;303
14.08.2020;282
13.08.2020;155
12.08.2020;194
11.08.2020;139
10.08.2020;73
09.08.2020;114
08.08.2020;82
07.08.2020;141
06.08.2020;130
05.08.2020;85
04.08.2020;96
03.08.2020;81
02.08.2020;92
01.08.2020;82
31.07.2020;175
